,Price,Location,Title,Link,Date
13,"$4,799",SUBARU FORESTER WWW.YOURCHOICEAUTOS.COM,2008-2011 SUBARU FORESTER / 2008 VOLVO V50 / 2011 DODGE CALIBER,https://chicago.craigslist.org/nwc/ctd/d/subaru-forester-2008-volvo-dodge-caliber/7299259596.html,Mar 30
14,"$1,800",N/A,2004 Toyota Prius,https://chicago.craigslist.org/chc/cto/d/plainfield-2004-toyota-prius/7299259175.html,Mar 30
15,"$7,500",Warrenville,Work Truck,https://chicago.craigslist.org/wcl/cto/d/naperville-work-truck/7299253038.html,Mar 30
16,"$1,800",Chicago,Ford Escape,https://chicago.craigslist.org/nch/cto/d/maywood-ford-escape/7299252661.html,Mar 30
17,"$23,995","Middle town, OH",2013 HONDA ODYSSEY EX WHEELCHAIR ACCESSIBLE MOBILITY VAN 32K MILES,https://chicago.craigslist.org/chc/cto/d/middletown-2013-honda-odyssey-ex/7299251588.html,Mar 30
18,"$17,900",_Jeep_ _Compass_ _SUV_,*2018* *Jeep* *Compass* *Sport FWD*,https://chicago.craigslist.org/chc/ctd/d/waukegan-2018-jeep-compass-sport-fwd/7299251520.html,Mar 30
19,"$3,800",N/A,Ford Expedition 2008,https://chicago.craigslist.org/nwi/cto/d/munster-ford-expedition-2008/7299250462.html,Mar 30
20,"$5,999",WWW.YOURCHOICEAUTOS.COM,2005 VOLVO S60 / 2009 PONTIAC G6 / 2007 LEXUS ES350 / 2007 BMW 7SERIES,https://chicago.craigslist.org/nwc/ctd/d/2005-volvo-pontiac-lexus-es-bmw-7series/7299250402.html,Mar 30
21,"$4,500",Mundelein,"2008 Honda Civic EX ""MODIFIED""",https://chicago.craigslist.org/nch/cto/d/vernon-hills-2008-honda-civic-ex/7299249741.html,Mar 30
22,"$39,990",TOUCHLESS DELIVERY TO YOUR HOME,2014 Tesla Model S P85 Sedan 4D sedan White - FINANCE ONLINE,https://chicago.craigslist.org/nwc/ctd/d/park-ridge-2014-tesla-model-p85-sedan/7299248574.html,Mar 30
23,"$1,300",+ First Marshall Auto Auction,2008 Chevrolet Chevy Cobalt LT -Auction Pricing ,https://chicago.craigslist.org/nwi/ctd/d/dolton-2008-chevrolet-chevy-cobalt-lt/7299248228.html,Mar 30
24,"$2,700",+ First Marshall Auto Auction,2008 Audi A4 2.0T -Auction Pricing ,https://chicago.craigslist.org/nch/ctd/d/dolton-2008-audi-a4-20t-auction-pricing/7299248120.html,Mar 30
25,"$8,999",+ I-80 Auto Sales,2004 Ford F-150 F150 F 150 XLT 4dr SuperCab 4WD Styleside 6.5 ft. SB,https://chicago.craigslist.org/chc/ctd/d/markham-2004-ford-150-f150-150-xlt-4dr/7299245551.html,Mar 30
26,"$2,100",Chicago,Nissan altima 2005,https://chicago.craigslist.org/chc/cto/d/chicago-nissan-altima-2005/7299243447.html,Mar 30
27,"$3,500",Westchester,2002 Cadillac STS,https://chicago.craigslist.org/wcl/cto/d/westchester-2002-cadillac-sts/7299243371.html,Mar 30
28,"$3,700",N/A,2001 Nissan Xterra Drives like new,https://chicago.craigslist.org/nch/cto/d/evanston-2001-nissan-xterra-drives-like/7299242599.html,Mar 30
29,"$3,999",HONDA CIVIC WWW.YOURCHOICEAUTOS.COM,2009 HONDA CIVIC / 2010 FORD FOCUS / 2012  MAZDA3 / 2009 PONTIAC G8,https://chicago.craigslist.org/sox/ctd/d/2009-honda-civic-2010-ford-focus-2012/7299241026.html,Mar 30
30,"$9,900",Orland Park,2014 Nissan Altima One owner Low mileage Grandpa's car,https://chicago.craigslist.org/chc/cto/d/orland-park-2014-nissan-altima-one/7299236838.html,Mar 30
31,"$1,400",Merrillville,2005 Ford Escape,https://chicago.craigslist.org/nwi/cto/d/merrillville-2005-ford-escape/7299235158.html,Mar 30
32,"$2,700",N/A,2001 Sport Trac for Sale,https://chicago.craigslist.org/nwi/cto/d/east-chicago-2001-sport-trac-for-sale/7299233348.html,Mar 30
33,"$33,990",TOUCHLESS DELIVERY TO YOUR HOME,2018 Ford F150 Super Cab Lariat Pickup 4D 6 1/2 ft pickup Gray -,https://chicago.craigslist.org/nwi/ctd/d/hobart-2018-ford-f150-super-cab-lariat/7299230918.html,Mar 30
34,"$9,977",CHRYSLER TOWN AND COUNTRY WWW.YOURCHOICEAUTOS.COM,2005 CHRYSLER TOWN AND COUNTRY WHEELCHAIR/MOBILITY VAN KEYLESS 242453,https://chicago.craigslist.org/sox/ctd/d/2005-chrysler-town-and-country/7299231459.html,Mar 30
35,"$14,500",Porter,2012 Audi A7,https://chicago.craigslist.org/nwi/cto/d/chesterton-2012-audi-a7/7299230948.html,Mar 30
36,"$12,498",_Ford_ _Fiesta_ _Sedan_,2019 Ford Fiesta SE,https://chicago.craigslist.org/chc/ctd/d/oak-lawn-2019-ford-fiesta-se/7299230746.html,Mar 30
37,"$42,498",_Ford_ _Mustang_ _Coupe_,2019 Ford Mustang GT Premium,https://chicago.craigslist.org/chc/ctd/d/oak-lawn-2019-ford-mustang-gt-premium/7299230569.html,Mar 30
38,"$1,700",+ First Marshall Auto Auction,2006 Jeep Commander XH H (High Line) -Auction Pricing ,https://chicago.craigslist.org/nwi/ctd/d/dolton-2006-jeep-commander-xh-high-line/7299230124.html,Mar 30
39,"$3,500",+ First Marshall Auto Auction,2011 Buick Regal CXL RL1 -Auction Pricing ,https://chicago.craigslist.org/nch/ctd/d/dolton-2011-buick-regal-cxl-rl1-auction/7299230020.html,Mar 30
40,"$1,350",Melrose Park,For Sale by Dealership 2007 Pontiac G6,https://chicago.craigslist.org/chc/ctd/d/marengo-for-sale-by-dealership-2007/7299229315.html,Mar 30
41,"$1,500",Markham,2000 mercury grand marquis,https://chicago.craigslist.org/chc/cto/d/markham-2000-mercury-grand-marquis/7299226540.html,Mar 30
42,"$12,950",Palos Park,BMW 335i 2008 convertible hard top,https://chicago.craigslist.org/sox/cto/d/palos-park-bmw-335i-2008-convertible/7299224950.html,Mar 30
43,"$5,590",Chicago,2009 Acura  rl  awd  with  sh,https://chicago.craigslist.org/chc/cto/d/chicago-2009-acura-rl-awd-with-sh/7299223954.html,Mar 30
44,"$2,800",WAUKEGANAUTOAUCTION.COM OPEN TO PUBLIC OVER 200 CARS WEEKLY,08 HYUNDAI ACCENT /09 DODGE AVENGER /09 HYUNDAI SONATA /05 LEXUS ES330,https://chicago.craigslist.org/nch/ctd/d/waukegan-08-hyundai-accent-09-dodge/7299222346.html,Mar 30
45,"$1,700",Markham,2005 Chevy colorado,https://chicago.craigslist.org/chc/cto/d/markham-2005-chevy-colorado/7299220722.html,Mar 30
46,"$1,500",Marengo,2002 Chevy Silverado Z71 4WD - Price reduced from $1800,https://chicago.craigslist.org/nwc/cto/d/marengo-2002-chevy-silverado-z71-4wd/7299219967.html,Mar 30
47,"$6,490",Buick Enclave Gold Mist Metallic,2010 Buick Enclave CXL - SUV,https://chicago.craigslist.org/wcl/ctd/d/addison-2010-buick-enclave-cxl-suv/7299218099.html,Mar 30
48,"$6,750",Nissan Murano Glacier Pearl,2009 Nissan Murano S - SUV,https://chicago.craigslist.org/nwc/ctd/d/crystal-lake-2009-nissan-murano-suv/7299217485.html,Mar 30
49,$685,][][] NO MONEY DOWN [][][,$685/mo 2020 GMC Yukon Bad Credit & No Money Down OK,https://chicago.craigslist.org/chc/ctd/d/chicago-685-mo-2020-gmc-yukon-bad/7299216919.html,Mar 30
50,"$12,990",TOUCHLESS DELIVERY TO YOUR HOME,2011 Nissan Rogue S Sport Utility 4D hatchback Red - FINANCE ONLINE,https://chicago.craigslist.org/sox/ctd/d/riverdale-2011-nissan-rogue-sport/7299214232.html,Mar 30
51,"$35,990",TOUCHLESS DELIVERY TO YOUR HOME,2012 Tesla Model S Performance Sedan 4D sedan Blue - FINANCE ONLINE,https://chicago.craigslist.org/nwc/ctd/d/park-ridge-2012-tesla-model-performance/7299214179.html,Mar 30
52,"$6,500",+ First Marshall Auto Auction,2011 Jeep Grand Cherokee Limited -Auction Pricing ,https://chicago.craigslist.org/nwi/ctd/d/dolton-2011-jeep-grand-cherokee-limited/7299213762.html,Mar 30
53,"$3,300",Chicago,***2008 Honda Civic 2-Door***,https://chicago.craigslist.org/chc/cto/d/chicago-2008-honda-civic-door/7299212904.html,Mar 30
54,"$20,990",TOUCHLESS DELIVERY TO YOUR HOME,2012 INFINITI G G37 Convertible 2D Convertible Black - FINANCE ONLINE,https://chicago.craigslist.org/wcl/ctd/d/oak-park-2012-infiniti-g37-convertible/7299209299.html,Mar 30
55,"$3,200",Chicago,***2009 Mitsubishi Galant$3200***,https://chicago.craigslist.org/chc/cto/d/chicago-2009-mitsubishi-galant3200/7299207628.html,Mar 30
56,"$7,300",Chesterton,2011 Chevy Traverse LTZ,https://chicago.craigslist.org/nwi/cto/d/chesterton-2011-chevy-traverse-ltz/7299206459.html,Mar 30
57,"$3,900",Oak lawn,2005 GMC ENVOY XL 4X4 .. LOADED .. 3 ROWS,https://chicago.craigslist.org/sox/cto/d/oak-lawn-2005-gmc-envoy-xl-4x4-loaded/7299205423.html,Mar 30
58,"$19,990",TOUCHLESS DELIVERY TO YOUR HOME,2017 GMC Acadia SLE-2 Sport Utility 4D suv Silver - FINANCE ONLINE,https://chicago.craigslist.org/nch/ctd/d/chicago-2017-gmc-acadia-sle-sport/7299204003.html,Mar 30
59,"$17,990",TOUCHLESS DELIVERY TO YOUR HOME,2020 Chevy Chevrolet Trax LS Sport Utility 4D hatchback Black -,https://chicago.craigslist.org/nch/ctd/d/chicago-2020-chevy-chevrolet-trax-ls/7299203910.html,Mar 30
60,"$5,200",Broadview,2010 Dodge Avenger RT 75k,https://chicago.craigslist.org/wcl/cto/d/broadview-2010-dodge-avenger-rt-75k/7299203315.html,Mar 30
61,"$1,000",Homer Glen,Honda odyssey for sale,https://chicago.craigslist.org/sox/cto/d/homer-glen-honda-odyssey-for-sale/7299202133.html,Mar 30
62,"$31,500",Midway,2013 BMW 650i,https://chicago.craigslist.org/chc/cto/d/chicago-2013-bmw-650i/7299202100.html,Mar 30
63,"$29,995",Des Plaines,2014 Chevy 3500 Thomas Bus,https://chicago.craigslist.org/chc/cto/d/des-plaines-2014-chevy-3500-thomas-bus/7299201967.html,Mar 30
64,"$13,999",East Dundee,2018 VW Jetta SE,https://chicago.craigslist.org/nch/cto/d/dundee-2018-vw-jetta-se/7299200302.html,Mar 30
65,"$8,977",MIDWAY DODGE,2013 Ford Edge SEL FOR ONLY $144/mo!,https://chicago.craigslist.org/wcl/ctd/d/chicago-2013-ford-edge-sel-for-only-144/7299199868.html,Mar 30
66,"$8,977",MIDWAY DODGE,2013 Ford Edge SEL FOR ONLY $144/mo!,https://chicago.craigslist.org/sox/ctd/d/chicago-2013-ford-edge-sel-for-only-144/7299199880.html,Mar 30
67,"$8,977",MIDWAY DODGE,2013 Ford Edge SEL FOR ONLY $144/mo!,https://chicago.craigslist.org/chc/ctd/d/chicago-2013-ford-edge-sel-for-only-144/7299199858.html,Mar 30
68,"$2,000",Chicago,***2007 Chrysler Town Country***,https://chicago.craigslist.org/chc/cto/d/chicago-2007-chrysler-town-country/7299199738.html,Mar 30
69,"$34,995",2020 Cadillac XT4 Napleton River Oaks Cadillac,2020 Cadillac XT4 FWD 4dr Premium Luxury -,https://chicago.craigslist.org/sox/ctd/d/calumet-city-2020-cadillac-xt4-fwd-4dr/7299199227.html,Mar 30
70,"$2,400",+ First Marshall Auto Auction,2008 Volvo XC90 V8 -Auction Pricing ,https://chicago.craigslist.org/nwi/ctd/d/dolton-2008-volvo-xc90-v8-auction/7299198425.html,Mar 30
71,"$3,500",+ First Marshall Auto Auction,2010 Hyundai Santa Fe GLS -Auction Pricing ,https://chicago.craigslist.org/nch/ctd/d/dolton-2010-hyundai-santa-fe-gls/7299198350.html,Mar 30
72,"$25,000",Des Plaines,2014 24 Passenger Bus For Sale,https://chicago.craigslist.org/chc/ctd/d/des-plaines-passenger-bus-for-sale/7299198089.html,Mar 30
73,"$16,955",N/A,2014 Ford Flex,https://chicago.craigslist.org/nch/ctd/d/des-plaines-2014-ford-flex/7299197656.html,Mar 30
74,"$42,995","Grayslake, IL",2014 Ford Super Duty F-250 SRW SUPER DUTY,https://chicago.craigslist.org/nwc/ctd/d/grayslake-2014-ford-super-duty-250-srw/7299196424.html,Mar 30
75,"$12,295","Joliet, IL",2016 Kia Sedona LX,https://chicago.craigslist.org/wcl/ctd/d/joliet-2016-kia-sedona-lx/7299196206.html,Mar 30
76,"$18,995","Midlothian, IL",2020 Nissan Altima 2.5 S,https://chicago.craigslist.org/sox/ctd/d/robbins-2020-nissan-altima-25/7299196133.html,Mar 30
77,"$9,999","Highland, IN",2018 Kia Soul Base,https://chicago.craigslist.org/nwi/ctd/d/highland-2018-kia-soul-base/7299196073.html,Mar 30
78,"$7,650",N. Suburbs,2007 Honda CRV EX-L 4WD By Owner,https://chicago.craigslist.org/nch/cto/d/buffalo-grove-2007-honda-crv-ex-4wd-by/7299195298.html,Mar 30
79,"$6,900",Crystal Lake,2011 IC CE PB105 72 Passenger School Bus,https://chicago.craigslist.org/chc/ctd/d/lake-in-the-hills-2011-ic-ce-pb/7299195139.html,Mar 30
80,"$43,590",TOUCHLESS DELIVERY TO YOUR HOME,2014 Mercedes-Benz SL-Class SL 550 Roadster 2D Convertible Gray -,https://chicago.craigslist.org/nwi/ctd/d/hobart-2014-mercedes-benz-sl-class-sl/7299193797.html,Mar 30
81,"$38,590",TOUCHLESS DELIVERY TO YOUR HOME,2018 GMC Sierra 1500 Double Cab SLT Pickup 4D 6 1/2 ft pickup Silver -,https://chicago.craigslist.org/nwi/ctd/d/hobart-2018-gmc-sierra-1500-double-cab/7299193787.html,Mar 30
82,"$7,200",Addison,2005 LEXUS ES330 77K MILES,https://chicago.craigslist.org/wcl/cto/d/addison-2005-lexus-es330-77k-miles/7299190407.html,Mar 30
83,"$7,000",South Holland,"*** 2013 Ford E-350 $7,000*** South Holland",https://chicago.craigslist.org/chc/cto/d/chicago-ford-south-holland/7299189987.html,Mar 30
84,"$45,590",TOUCHLESS DELIVERY TO YOUR HOME,2017 Mercedes-Benz S-Class S 550 Sedan 4D sedan Gray - FINANCE ONLINE,https://chicago.craigslist.org/sox/ctd/d/riverdale-2017-mercedes-benz-class-550/7299188783.html,Mar 30
85,"$35,590",TOUCHLESS DELIVERY TO YOUR HOME,2020 Jeep Grand Cherokee Trailhawk Sport Utility 4D suv Silver -,https://chicago.craigslist.org/nwc/ctd/d/park-ridge-2020-jeep-grand-cherokee/7299188767.html,Mar 30
86,"$23,990",TOUCHLESS DELIVERY TO YOUR HOME,2011 Mercedes-Benz S-Class S 550 4MATIC Sedan 4D sedan White - FINANCE,https://chicago.craigslist.org/sox/ctd/d/riverdale-2011-mercedes-benz-class-550/7299188729.html,Mar 30
87,"$7,900",Chicago,"2003 BMW 540i Original Owner 98,000 miles",https://chicago.craigslist.org/chc/cto/d/chicago-2003-bmw-540i-original-owner/7299188436.html,Mar 30
88,"$7,900",Addison,2008 BMW X5 3.0si,https://chicago.craigslist.org/nwc/cto/d/addison-2008-bmw-x5-30si/7299187890.html,Mar 30
89,"$42,990",TOUCHLESS DELIVERY TO YOUR HOME,2018 Chevy Chevrolet Tahoe LT Sport Utility 4D suv Black - FINANCE,https://chicago.craigslist.org/chc/ctd/d/chicago-2018-chevy-chevrolet-tahoe-lt/7299184977.html,Mar 30
90,"$30,990",TOUCHLESS DELIVERY TO YOUR HOME,2020 Chevy Chevrolet Silverado 1500 Regular Cab Work Truck Pickup 2D 8,https://chicago.craigslist.org/chc/ctd/d/chicago-2020-chevy-chevrolet-silverado/7299184943.html,Mar 30
91,"$29,590",TOUCHLESS DELIVERY TO YOUR HOME,2018 Jag Jaguar XE XE 25t Premium Sedan 4D sedan Blue - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2018-jag-jaguar-xe-xe-25t/7299184921.html,Mar 30
92,"$16,990",TOUCHLESS DELIVERY TO YOUR HOME,2018 Chevy Chevrolet Cruze LT Hatchback 4D hatchback Black - FINANCE,https://chicago.craigslist.org/chc/ctd/d/chicago-2018-chevy-chevrolet-cruze-lt/7299184929.html,Mar 30
93,"$33,990",TOUCHLESS DELIVERY TO YOUR HOME,2019 Chevy Chevrolet Colorado Crew Cab Z71 Pickup 4D 5 ft pickup Red -,https://chicago.craigslist.org/chc/ctd/d/chicago-2019-chevy-chevrolet-colorado/7299184888.html,Mar 30
94,"$18,590",TOUCHLESS DELIVERY TO YOUR HOME,2017 Chrysler 200 Touring Sedan 4D sedan Gray - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2017-chrysler-200-touring-sedan/7299184892.html,Mar 30
95,"$23,590",TOUCHLESS DELIVERY TO YOUR HOME,2018 Nissan Pathfinder SL Sport Utility 4D suv Black - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2018-nissan-pathfinder-sl-sport/7299184819.html,Mar 30
96,"$46,990",TOUCHLESS DELIVERY TO YOUR HOME,2020 Chevy Chevrolet Tahoe LT Sport Utility 4D suv Silver - FINANCE,https://chicago.craigslist.org/chc/ctd/d/chicago-2020-chevy-chevrolet-tahoe-lt/7299184954.html,Mar 30
97,"$15,990",TOUCHLESS DELIVERY TO YOUR HOME,2018 Chevy Chevrolet Cruze LT Hatchback 4D hatchback Blue - FINANCE,https://chicago.craigslist.org/chc/ctd/d/chicago-2018-chevy-chevrolet-cruze-lt/7299184912.html,Mar 30
98,"$13,990",TOUCHLESS DELIVERY TO YOUR HOME,2019 Hyundai Accent SE Sedan 4D sedan Blue - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2019-hyundai-accent-se-sedan-4d/7299184895.html,Mar 30
99,"$26,590",TOUCHLESS DELIVERY TO YOUR HOME,2012 Toyota Tundra Double Cab Pickup 4D 6 1/2 ft pickup Silver -,https://chicago.craigslist.org/chc/ctd/d/chicago-2012-toyota-tundra-double-cab/7299184903.html,Mar 30
100,"$24,990",TOUCHLESS DELIVERY TO YOUR HOME,2020 Nissan Pathfinder SL Sport Utility 4D suv White - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2020-nissan-pathfinder-sl-sport/7299184855.html,Mar 30
101,"$15,990",TOUCHLESS DELIVERY TO YOUR HOME,2015 Chrysler 200 Limited Sedan 4D sedan Burgundy - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2015-chrysler-200-limited-sedan/7299184848.html,Mar 30
102,"$17,590",TOUCHLESS DELIVERY TO YOUR HOME,2017 Nissan JUKE S Sport Utility 4D hatchback White - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2017-nissan-juke-sport-utility/7299184852.html,Mar 30
103,"$15,990",TOUCHLESS DELIVERY TO YOUR HOME,2017 Chevy Chevrolet Cruze LT Diesel Sedan 4D sedan Gray - FINANCE,https://chicago.craigslist.org/chc/ctd/d/chicago-2017-chevy-chevrolet-cruze-lt/7299184814.html,Mar 30
104,"$15,990",TOUCHLESS DELIVERY TO YOUR HOME,2015 Nissan Pathfinder S Sport Utility 4D suv Black - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2015-nissan-pathfinder-sport/7299184818.html,Mar 30
105,"$28,990",TOUCHLESS DELIVERY TO YOUR HOME,2018 Jag Jaguar XE XE 25t Prestige Sedan 4D sedan White - FINANCE,https://chicago.craigslist.org/chc/ctd/d/chicago-2018-jag-jaguar-xe-xe-25t/7299184804.html,Mar 30
106,"$33,990",TOUCHLESS DELIVERY TO YOUR HOME,2019 Chevy Chevrolet Silverado 1500 Regular Cab Work Truck Pickup 2D 8,https://chicago.craigslist.org/chc/ctd/d/chicago-2019-chevy-chevrolet-silverado/7299184794.html,Mar 30
107,"$2,400",+ First Marshall Auto Auction,2006 BMW X5 3.0i -Auction Pricing ,https://chicago.craigslist.org/nwi/ctd/d/dolton-2006-bmw-x5-30i-auction-pricing/7299183820.html,Mar 30
108,"$2,600",+ First Marshall Auto Auction,2008 Saturn VUE XE -Auction Pricing ,https://chicago.craigslist.org/nch/ctd/d/dolton-2008-saturn-vue-xe-auction/7299183751.html,Mar 30
109,"$15,990",TOUCHLESS DELIVERY TO YOUR HOME,2017 Chevy Chevrolet Cruze Premier Hatchback 4D hatchback Black -,https://chicago.craigslist.org/chc/ctd/d/chicago-2017-chevy-chevrolet-cruze/7299181169.html,Mar 30
110,"$10,990",TOUCHLESS DELIVERY TO YOUR HOME,2013 Chrysler 200 Touring Sedan 4D sedan Silver - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2013-chrysler-200-touring-sedan/7299181172.html,Mar 30
111,"$38,990",TOUCHLESS DELIVERY TO YOUR HOME,2020 Jag Jaguar XE XE P250 S Sedan 4D sedan White - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2020-jag-jaguar-xe-xe-p250/7299181148.html,Mar 30
112,"$15,590",TOUCHLESS DELIVERY TO YOUR HOME,2016 Chrysler 200 Limited Sedan 4D sedan Burgundy - FINANCE ONLINE,https://chicago.craigslist.org/chc/ctd/d/chicago-2016-chrysler-200-limited-sedan/7299181151.html,Mar 30
113,"$44,990",TOUCHLESS DELIVERY TO YOUR HOME,2020 Jag Jaguar XE XE P300 R-Dynamic S Sedan 4D sedan Red - FINANCE,https://chicago.craigslist.org/chc/ctd/d/chicago-2020-jag-jaguar-xe-xe-p300/7299181153.html,Mar 30
114,"$14,990",TOUCHLESS DELIVERY TO YOUR HOME,2011 Chevy Chevrolet Silverado 1500 Regular Cab Work Truck Pickup 2D 8,https://chicago.craigslist.org/chc/ctd/d/chicago-2011-chevy-chevrolet-silverado/7299181136.html,Mar 30
115,"$23,990",TOUCHLESS DELIVERY TO YOUR HOME,2016 Chevy Chevrolet Silverado 1500 Regular Cab Work Truck Pickup 2D 8,https://chicago.craigslist.org/chc/ctd/d/chicago-2016-chevy-chevrolet-silverado/7299181130.html,Mar 30
116,"$43,590",TOUCHLESS DELIVERY TO YOUR HOME,2019 Chevy Chevrolet Tahoe LS Sport Utility 4D suv Black - FINANCE,https://chicago.craigslist.org/chc/ctd/d/chicago-2019-chevy-chevrolet-tahoe-ls/7299181119.html,Mar 30
117,"$5,900",Addison,2012 Hyundai Veloster - Well Maintained,https://chicago.craigslist.org/nwc/cto/d/addison-2012-hyundai-veloster-well/7299181819.html,Mar 30
118,"$1,750",Plainfield,2003 Pontiac Montana,https://chicago.craigslist.org/sox/ctd/d/plainfield-2003-pontiac-montana/7299179817.html,Mar 30
119,"$4,900",Evergreen park,2007 Honda pilot,https://chicago.craigslist.org/chc/cto/d/evergreen-park-2007-honda-pilot/7299173855.html,Mar 30
0,"$4,300",Chicago,****2007 Infinti M35X AWD****,https://chicago.craigslist.org/chc/cto/d/chicago-2007-infinti-m35x-awd/7299172847.html,Mar 30
1,"$14,900",_Ford_ _Escape_ _SUV_,*2018* *Ford* *Escape* *SE FWD*,https://chicago.craigslist.org/chc/ctd/d/waukegan-2018-ford-escape-se-fwd/7299172863.html,Mar 30
2,"$3,700",Chicago,%%%% 2009 Hyundai Santa Fe GLS%%%,https://chicago.craigslist.org/chc/cto/d/chicago-hyundai-santa-fe-gls/7299170643.html,Mar 30
3,"$2,600",Chicago,***2007 Ford Focus Zx4 SE***,https://chicago.craigslist.org/chc/cto/d/chicago-2007-ford-focus-zx4-se/7299168454.html,Mar 30
4,"$6,500",Arlington Heights,"2012 Nissan Altima 2,5s",https://chicago.craigslist.org/nwc/cto/d/arlington-heights-2012-nissan-altima-25s/7299167855.html,Mar 30
5,$850,Tinley Park,2002 Oldsmobile Alero GL Sedan,https://chicago.craigslist.org/sox/cto/d/tinley-park-2002-oldsmobile-alero-gl/7299167479.html,Mar 30
6,"$36,990",TOUCHLESS DELIVERY TO YOUR HOME,2012 Mercedes-Benz SL-Class SL 550 Roadster 2D Convertible Black -,https://chicago.craigslist.org/nch/ctd/d/chicago-2012-mercedes-benz-sl-class-sl/7299159136.html,Mar 30
7,"$25,990",TOUCHLESS DELIVERY TO YOUR HOME,2019 Nissan Frontier Crew Cab SL Pickup 4D 5 ft pickup White - FINANCE,https://chicago.craigslist.org/wcl/ctd/d/oak-park-2019-nissan-frontier-crew-cab/7299159107.html,Mar 30
8,"$2,900",Oak Forest,2001 Toyota RAV4,https://chicago.craigslist.org/sox/ctd/d/oak-forest-2001-toyota-rav4/7299155943.html,Mar 30
9,"$3,000",Oak Forest,2006 Dodge Grand Caravan,https://chicago.craigslist.org/sox/ctd/d/oak-forest-2006-dodge-grand-caravan/7299155541.html,Mar 30
10,"$26,990",TOUCHLESS DELIVERY TO YOUR HOME,2020 Chevy Chevrolet Camaro LT Coupe 2D coupe Red - FINANCE ONLINE,https://chicago.craigslist.org/nwi/ctd/d/hobart-2020-chevy-chevrolet-camaro-lt/7299153946.html,Mar 30
